Word,TD-IDF Value
opportunity,617.4735314496552
join,607.7457463401777
contract,606.9671017180993
team,582.9469587925814
business,518.8158465193815
looking,494.8276030947439
project,494.0245365274245
work,491.21036846740026
role,455.0987529889086
experience,441.0580721109568
developer,428.42684646289996
experienced,425.4038977008246
analyst,402.32257757901016
month,396.37255120560025
seeking,378.7965540004766
support,374.14265997373786
senior,372.4588461905108
based,370.3519185680903
client,355.96557261360624
data,355.78780088383695
manager,353.65575277356555
cbd,330.630178166219
engineer,329.9652960119465
exciting,328.74139062927145
leading,317.0412632113887
sydney,313.02160189959864
government,308.28860290528263
organisation,305.0123144563098
large,303.87756943402496
company,287.47385969383305
services,283.7061772429337
projects,280.6325517691696
technical,277.3508657781847
required,266.5145020408401
lead,266.008781489463
technology,264.8105288328174
security,261.638222551601
software,258.83363709532875
development,254.97143727332676
great,253.3015659123314
new,249.50177866692363
systems,248.71423341468505
working,248.28692081599613
management,248.12563832663398
solutions,235.8750869883886
global,233.19517685947739
digital,225.60854244286293
melbourne,220.26557659379617
start,218.34429413742288
architect,211.03260994604173
term,207.07857937694348
service,205.95638611647638
permanent,201.9216922757462
delivery,201.61206030067848
growing,199.68167057005152
end,196.30783282947618
cloud,191.7538355959677
initial,190.2015189143272
level,185.89723806638295
environment,184.77596559100718
design,184.50963119952732
high,181.17810720408534
strong,180.58730837432776
financial,180.28361437935442
program,178.52440007810773
location,177.40896849699686
consultant,173.32202146615836
infrastructure,172.4377604654174
enterprise,167.61112420083518
12,165.97992779534604
australia,165.38625114351575
network,163.68934843512088
transformation,163.30931794368308
product,163.24958944286553
months,162.37315538836341
net,158.73214712191398
career,158.61028381244097
specialist,158.50093282378577
solution,157.3896694031422
long,155.63339528606437
skills,152.94180114870426
currently,148.02010222873812
change,145.86507178039543
agile,144.51384832559586
immediate,143.32986446111335
provide,141.51591533615036
customer,140.54661756377905
apply,140.34827801099573
australian,139.78257108694706
implementation,138.9468292375314
position,138.50544252127295
sap,135.9709401306654
clients,135.4621718346741
applications,134.69106572596064
multiple,134.16312043690425
brisbane,133.51184023860978
java,133.40381281374042
excellent,132.13351237388886
responsible,131.27201553869833
fantastic,128.170165512345
time,126.96449076592376
application,125.83854570010838
industry,123.3014754156495
ict,122.80840167334979
federal,121.78607682981328
web,121.39507606225872
department,121.33261897573179
deliver,121.31183866369568
stack,121.28353761703126
highly,120.35156882021873
help,120.29786283123056
develop,120.17966122778692
tech,119.04246286021004
integration,117.81897665816909
build,115.78081708454516
developers,114.79638391059194
leader,110.45444704271729
growth,108.52431750637228
market,108.12373859241023
test,107.96406259075164
key,106.81286650610504
talented,105.71787648845647
platform,104.84217902818878
available,102.06321618956673
office,100.97215361321481
canberra,99.87937655126753
complex,96.95287167818152
manage,96.65202909587452
nsw,95.31627266227767
innovative,95.15941786669842
assist,94.36226550451029
automation,93.51713496617461
sales,92.31205972609142
administrator,92.13066119796835
bi,91.36325816128078
information,90.78195543402994
testing,90.57674714166221
aws,90.43196892383952
consulting,90.15491523322126
fast,90.00913014832472
cyber,89.12901156101098
dynamic,88.12936893257888
major,87.91161104366493
devops,87.82852876353667
process,86.30006702085363
architecture,85.57237129498249
world,85.38580806954054
day,84.71395259198317
quality,84.60083309416491
technologies,84.21785117453315
engineering,83.07159611580771
operations,82.45815624560223
big,81.98992680508593
extensions,81.23241692588738
drive,81.15712624949859
provider,80.91925727459598
professional,80.75051168770848
agency,80.45347616332771
opportunities,80.38435664888667
customers,80.07698869147876
products,79.84294688979526
passionate,79.81703338749372
extension,78.42440152823858
health,78.30845687392409
sql,77.89941147019506
engineers,77.75661528963559
culture,77.61914284825265
asap,77.5426496835453
reporting,77.31963006254601
officer,76.70089338687339
expertise,76.65403920081904
desk,76.5921438330886
requires,75.57769558950143
consultancy,75.3794910042927
background,74.26081046526161
analytics,74.10851955813884
2019,73.81827091829967
established,73.64435609828774
needed,73.03005375919632
ba,72.67227481229727
brand,72.51548171384516
designer,72.39305213775366
scale,72.25989225486427
analysis,72.01682414146568
microsoft,71.7341846857522
crm,71.57517314207807
azure,71.5619409859904
edge,71.01360422854802
basis,70.48603441026839
migration,70.41463867536234
focused,70.38267240306381
largest,70.26896714966367
mobile,70.08135030702495
leadership,68.82399722448307
functional,68.58798345664448
successful,68.47166274547402
focus,68.31097803961671
clearance,68.29280426210433
using,68.01607639186543
years,67.75461444671329
job,67.44448049022753
delivering,66.03464024072602
providing,65.83264355620072
strategy,65.19078874643769
salesforce,64.93041917632829
user,64.7234598715105
teams,64.20346322545868
skilled,64.10028730586613
best,63.8979778049769
profile,63.77876752720105
fixed,63.10485653995411
banking,62.7636747956241
use,62.63431679476857
mid,62.32074492244343
hands,62.24857434615538
knowledge,62.12832211586051
supporting,62.04833117857124
dynamics,61.505254123403056
roles,61.4529970783748
building,60.95824718888741
performing,60.222188264636806
365,59.692502619310346
telco,59.62690415651009
grow,59.47532387730197
